300000,305500,283000,1483900,305500
290000,303000,276000,1493600,279000
287500,289000,279000,1087800,281000
278000,283500,268000,806100,277000
280000,288500,279000,937600,288500
291000,305000,288500,1194900,288500
280500,287000,280000,584400,286000
280000,287000,278000,823800,285500
286000,294000,284000,987500,291500
300000,309000,296000,1270100,305000
308000,308000,299000,905200,305000
300000,302000,298000,804100,298000
293000,302000,291000,746300,302000
297500,299000,294000,650700,294000
290000,295000,285000,687100,285000
276000,282000,272000,885000,272000
275000,276000,270500,585700,274000
274000,281000,271500,558000,276000
282000,294000,277000,766300,291000
282000,286500,278000,792600,279000
280000,284000,263000,1429400,266000
261000,268500,255500,1282100,262500
262500,273000,248500,2855300,256500
256500,256500,256500,0,256500
257000,266500,252000,1282800,262000
267000,274000,265500,1169200,271500
278000,286000,274000,1021000,286000
283000,294000,280000,1236900,288000
298000,298000,284000,693200,285000
280000,283000,267000,882800,269000
269000,271000,257000,766300,260000
259000,260000,239000,1462300,250000
247000,255000,245500,1303700,254000
268500,281500,258000,2175000,265000
260000,263000,251500,529700,253500
250000,262000,250000,483600,256000
261000,263000,255000,554400,257000
256000,262000,253000,521500,253500
254000,257500,249000,557500,256000
250000,252500,240000,602800,240000
245000,257000,242000,1036400,256000
256000,256000,256000,0,256000
294000,294000,276000,2355000,294000
310000,312500,294000,2819800,300000
300000,302500,280000,783000,282000
280000,282000,274000,601400,281000
276000,300000,275000,649200,296000
298500,299000,281000,1117800,281000
289500,290000,276000,572100,277000
274000,274500,258000,644300,259000
258500,269000,258000,601200,260500
260000,270000,256000,922100,270000
274000,276000,268000,575900,270000
277000,278000,270000,481600,274000
280000,285500,276500,527300,283000
285000,297000,280500,898500,294000
298000,315000,294000,1739500,310000
324000,329000,310000,1299000,310000
316000,356000,309000,1805200,340000
348000,352000,335000,1354600,340000
345000,363000,341000,1488500,351500
351500,384000,349000,1561800,383000
376000,378000,352500,1492900,352500
340000,353500,332500,1277100,335000
346000,366000,343000,1136100,355000
350000,364500,333000,1166800,340000
340000,340000,340000,0,340000
343000,348000,334000,944700,334000
343000,363000,339000,847100,360000
375000,375000,360000,717700,365000
360000,360000,347500,581500,355000
348000,351500,343000,705000,345500
345500,345500,345500,0,345500
330000,334000,313000,1247300,313000
271000,287500,267000,1561000,276000
310000,312000,293000,1474600,302000
315000,323000,293000,1212300,300000
298000,308000,296000,746700,301000
303000,309000,298500,528500,302500
298500,301500,288000,556600,290000
281000,288000,276000,698000,282000
291000,293000,280000,785800,280000
276000,285000,270000,1082200,270000
275000,305000,273000,1510600,300000
300000,300000,300000,0,300000
310000,326500,306000,1446700,314000
312000,313000,304500,531700,309000
311000,318000,307000,522000,309000
309000,309000,309000,0,309000
320000,335000,315000,1053900,328000
328000,328000,328000,0,328000
316000,319500,313500,552400,317500
317500,317500,317500,0,317500
321000,322000,308000,943400,308000
314500,326500,311000,942400,322000
325500,340000,325500,792400,340000
350000,367000,346000,1524700,346000
337000,350000,334000,731600,340000
337000,345000,330000,829000,345000
336000,341500,331000,727700,333500
325000,335000,317500,825800,319000
308000,318500,296000,1443000,310000
316500,319000,296500,1719300,300000
295000,299500,280000,1342000,280000
263000,284000,262000,1342600,273000
273000,273000,273000,0,273000
300000,314500,298000,1678700,308000
310000,320500,306000,1004600,315000
334500,345000,325500,1687700,331000
346000,349000,334000,960200,337000
337000,337000,337000,0,337000
330000,349000,325500,1067300,340000
333000,348000,326500,1171000,326500
330000,352000,326500,1277200,351000
360000,364000,351500,990300,359500
353000,355000,343500,849900,353000
