Date,Open,High,Low,Volume,Close
5/15/97,2.4375,2.5,1.927083,72156000,1.958333
5/16/97,1.96875,1.979167,1.708333,14700000,1.729167
5/19/97,1.760417,1.770833,1.625,6106800,1.708333
5/20/97,1.729167,1.75,1.635417,5467200,1.635417
5/21/97,1.635417,1.645833,1.375,18853200,1.427083
5/22/97,1.4375,1.447917,1.3125,11776800,1.395833
5/23/97,1.40625,1.520833,1.333333,15937200,1.5
5/27/97,1.510417,1.645833,1.458333,8697600,1.583333
5/28/97,1.625,1.635417,1.53125,4574400,1.53125
5/29/97,1.541667,1.541667,1.479167,3472800,1.505208
5/30/97,1.5,1.510417,1.479167,2594400,1.5
6/2/97,1.510417,1.53125,1.5,591600,1.510417
6/3/97,1.53125,1.53125,1.479167,1183200,1.479167
6/4/97,1.479167,1.489583,1.395833,3080400,1.416667
6/5/97,1.416667,1.541667,1.375,5672400,1.541667
6/6/97,1.515625,1.708333,1.510417,7807200,1.65625
6/9/97,1.65625,1.708333,1.65625,2352000,1.6875
6/10/97,1.708333,1.708333,1.53125,5458800,1.583333
6/11/97,1.59375,1.604167,1.53125,1188000,1.541667
6/12/97,1.583333,1.645833,1.552083,1632000,1.604167
6/13/97,1.625,1.625,1.583333,693600,1.583333
6/16/97,1.604167,1.604167,1.5625,913200,1.572917
6/17/97,1.598958,1.598958,1.494792,4706400,1.505208
6/18/97,1.520833,1.536458,1.5,2464800,1.510417
6/19/97,1.510417,1.53125,1.5,1003200,1.510417
6/20/97,1.53125,1.552083,1.5,3387600,1.526042
6/23/97,1.541667,1.541667,1.479167,1047600,1.5
6/24/97,1.505208,1.526042,1.479167,751200,1.510417
6/25/97,1.526042,1.526042,1.489583,2106000,1.510417
6/26/97,1.520833,1.520833,1.505208,3189600,1.510417
6/27/97,1.515625,1.515625,1.479167,1188000,1.489583
6/30/97,1.510417,1.598958,1.479167,2746800,1.541667
7/1/97,1.541667,1.541667,1.510417,1292400,1.515625
7/2/97,1.515625,1.59375,1.510417,3882000,1.588542
7/3/97,1.598958,1.916667,1.59375,12577200,1.911458
7/7/97,1.833333,2.020833,1.833333,8053200,2
7/8/97,2.041667,2.333333,2.041667,15517200,2.302083
7/9/97,2.302083,2.385417,2.270833,8262000,2.322917
7/10/97,2.333333,2.572917,2.333333,9051600,2.5625
7/11/97,2.520833,2.520833,2.208333,10531200,2.291667
7/14/97,2.322917,2.333333,2.114583,4604400,2.135417
7/15/97,2.135417,2.479167,2.135417,9274800,2.4375
7/16/97,2.447917,2.494792,2.302083,3024000,2.333333
7/17/97,2.34375,2.34375,2.15625,3169200,2.21875
7/18/97,2.1875,2.21875,2.15625,780000,2.15625
7/21/97,2.177083,2.197917,2.145833,574800,2.182292
7/22/97,2.166667,2.1875,2.0625,1563600,2.135417
7/23/97,2.1875,2.333333,2.177083,3259200,2.291667
7/24/97,2.302083,2.3125,2.21875,1216800,2.260417
7/25/97,2.21875,2.25,2.21875,620400,2.229167
7/28/97,2.229167,2.395833,2.21875,2574000,2.322917
7/29/97,2.364583,2.5,2.333333,4814400,2.479167
7/30/97,2.5,2.505208,2.427083,2517600,2.447917
7/31/97,2.4375,2.4375,2.333333,1454400,2.395833
8/1/97,2.34375,2.416667,2.25,3588000,2.416667
8/4/97,2.375,2.411458,2.302083,2671200,2.3125
8/5/97,2.333333,2.333333,2.145833,3032400,2.208333
8/6/97,2.208333,2.3125,2.1875,1243200,2.25
8/7/97,2.25,2.260417,2.125,2034000,2.177083
8/8/97,2.166667,2.302083,2.104167,2211600,2.291667
8/11/97,2.291667,2.333333,2.25,1239600,2.328125
8/12/97,2.28125,2.302083,2.197917,571200,2.197917
8/13/97,2.229167,2.229167,2.166667,590400,2.197917
8/14/97,2.177083,2.25,2.119792,1041600,2.15625
8/15/97,2.135417,2.15625,1.9375,1597200,2.114583
8/18/97,2.052083,2.052083,1.96875,1784400,2.041667
8/19/97,2.09375,2.208333,2.052083,1003200,2.166667
8/20/97,2.1875,2.1875,2.072917,999600,2.166667
8/21/97,2.135417,2.171875,2.072917,624000,2.114583
8/22/97,2.104167,2.125,2.09375,712800,2.125
8/25/97,2.104167,2.260417,2.104167,1126800,2.21875
8/26/97,2.239583,2.354167,2.229167,2574000,2.34375
8/27/97,2.307292,2.322917,2.25,1392000,2.317708
8/28/97,2.302083,2.395833,2.28125,1147200,2.375
8/29/97,2.364583,2.375,2.322917,722400,2.338542
9/2/97,2.34375,2.375,2.333333,732000,2.354167
9/3/97,2.34375,2.416667,2.3125,1964400,2.333333
9/4/97,2.364583,2.552083,2.34375,3348000,2.552083
9/5/97,2.583333,2.666667,2.458333,1908000,2.5
9/8/97,2.53125,3.020833,2.5,5648400,3
9/9/97,3.140625,3.385417,3.026042,8971200,3.239583
9/10/97,3.3125,3.328125,3.125,3866400,3.302083
9/11/97,3.333333,3.333333,3.041667,4262400,3.15625
9/12/97,3.1875,3.697917,3.15625,3333600,3.6875
9/15/97,3.666667,3.677083,3.052083,5583600,3.09375
